종목코드,종목명,시장,ROE(%),예상ROE(%),현재가,적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),정렬기준(%)
265740,엔에프씨,KOSDAQ,16.68,0.0,7000,5870,4670,0,0,-16.14
016360,삼성증권,KOSPI,13.09,13.85,137200,113610,101030,120200,104050,-17.19
282330,BGF리테일,KOSPI,15.64,15.58,138600,114200,93540,113760,93340,-17.6
036890,진성티이씨,KOSDAQ,11.66,0.0,20000,16470,15510,0,0,-17.65
009320,아진전자부품,KOSPI,13.98,0.0,1109,910,780,0,0,-17.94
448710,코츠테크놀로지,KOSDAQ,14.8,0.0,20450,16780,14090,0,0,-17.95
005940,NH투자증권,KOSPI,11.76,12.57,36600,29960,28100,32030,29050,-18.14
092460,한라IMS,KOSDAQ,13.76,0.0,18800,15350,13330,0,0,-18.35
053610,프로텍,KOSDAQ,14.59,14.41,86500,69800,58980,68940,58580,-19.31
189860,서전기전,KOSDAQ,19.86,0.0,9410,7550,5610,0,0,-19.77
473980,노머스,KOSDAQ,15.64,0.0,17700,14090,11540,0,0,-20.4
101160,월덱스,KOSDAQ,12.53,0.0,31800,25270,22950,0,0,-20.53
457370,한켐,KOSDAQ,10.09,0.0,9260,7310,7440,0,0,-21.06
445180,퓨릿,KOSDAQ,15.1,0.0,11550,9070,7550,0,0,-21.47
100840,SNT에너지,KOSPI,25.15,19.4,56800,44590,30450,34390,25770,-21.5
096240,크레버스,KOSDAQ,15.15,0.0,10410,8110,6740,0,0,-22.09
002960,한국쉘석유,KOSPI,36.04,0.0,482000,373900,230060,0,0,-22.43
037030,파워넷,KOSDAQ,10.93,0.0,8090,6260,6100,0,0,-22.62
004800,효성,KOSPI,14.35,13.93,263000,201490,171560,195590,168860,-23.39
294570,쿠콘,KOSDAQ,13.54,0.0,28750,22020,19270,0,0,-23.41
285490,노바텍,KOSDAQ,10.89,0.0,22550,17130,16730,0,0,-24.04
080160,모두투어,KOSDAQ,17.71,18.43,11160,8330,6470,8660,6630,-25.36
037270,YG PLUS,KOSPI,12.69,0.0,4840,3610,3260,0,0,-25.41
033500,동성화인텍,KOSDAQ,24.23,29.76,27100,20130,13920,24720,16020,-25.72
017800,현대엘리베이터,KOSPI,20.1,0.0,97900,72310,53450,0,0,-26.14
303360,프로티아,KOSDAQ,15.72,0.0,4910,3600,2940,0,0,-26.68
