종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,적정주가(S-RIM),보수적주가(S-RIM)
136410,아셈스,KOSDAQ,12.97,71600000000.0,10475646,8520,7610
021080,에이티넘인베스트,KOSDAQ,12.96,204500000000.0,45994575,5540,4950
096610,알에프세미,KOSDAQ,12.96,14400000000.0,17386411,1030,920
000270,기아,KOSPI,12.92,61187900000000.0,388656043,195580,174940
264450,유비쿼스,KOSDAQ,12.92,195800000000.0,14665493,16590,14840
023450,동남합성,KOSPI,12.91,54500000000.0,3349314,20200,18070
011760,현대코퍼레이션,KOSPI,12.91,692700000000.0,12010966,71590,64060
088390,이녹스,KOSDAQ,12.9,175100000000.0,9385834,23140,20710
009970,영원무역홀딩스,KOSPI,12.83,3015200000000.0,11604898,320530,287680
009780,엠에스씨,KOSDAQ,12.83,189200000000.0,17600000,13260,11900
005850,에스엘,KOSPI,12.81,2552500000000.0,46055462,68270,61320
052790,액토즈소프트,KOSDAQ,12.77,256900000000.0,10924547,28870,25970
236200,슈프리마,KOSDAQ,12.75,271100000000.0,6941083,47880,43110
037270,YG PLUS,KOSPI,12.69,188600000000.0,63663110,3610,3260
003280,흥아해운,KOSPI,12.66,255000000000.0,240424899,1290,1170
111770,영원무역,KOSPI,12.66,4092300000000.0,42560112,117050,105740
060850,영림원소프트랩,KOSDAQ,12.62,53800000000.0,8131000,8030,7260
263860,지니언스,KOSDAQ,12.6,62200000000.0,8653420,8710,7890
136480,하림,KOSDAQ,12.56,325400000000.0,106187182,3700,3360
088910,동우팜투테이블,KOSDAQ,12.55,239500000000.0,25721764,11240,10190
101160,월덱스,KOSDAQ,12.53,346600000000.0,16510993,25290,22960
000990,DB하이텍,KOSPI,12.51,2142400000000.0,42008174,61350,55750
213420,덕산네오룩스,KOSDAQ,12.5,451800000000.0,24562915,22110,20100
052420,오성첨단소재,KOSDAQ,12.48,281300000000.0,9742009,34650,31520
453340,현대그린푸드,KOSPI,12.46,729500000000.0,32269023,27080,24660
006800,미래에셋증권,KOSPI,12.36,13303600000000.0,439383960,35980,32900
175330,JB금융지주,KOSPI,12.36,5914600000000.0,185444444,37910,34650
330730,스톤브릿지벤처스,KOSDAQ,12.36,93800000000.0,17502096,6370,5820
